"idx","sex","status","grade"
"15065","여","유료회원","초4학년"
"68354","남","유료회원","0학년"
"8354","남","유료회원","초3학년"
"30644","남","유료회원","초1학년"
"81495","남","유료회원","초1학년"
"27814","여","유료회원","초4학년"
"27913","남","유료회원","초2학년"
"20514","남","유료회원","초3학년"
"27722","남","유료회원","초3학년"
"34528","남","유료회원","초1학년"
"29703","여","유료회원","초6학년"
"29480","여","유료회원","초4학년"
"63573","여","유료회원","초2학년"
"15030","여","유료회원","초3학년"
"11659","남","유료회원","초5학년"
"70739","여","유료회원","초4학년"
"62360","남","유료회원","초2학년"
"19798","여","유료회원","초3학년"
"60392","남","유료회원","초2학년"
"61509","남","유료회원","초1학년"
"50715","남","유료회원","초2학년"
"40117","남","유료회원","초3학년"
"81313","여","유료회원","초3학년"
"475","남","유료회원","초5학년"
"40779","여","유료회원","초6학년"
"16738","여","유료회원","초4학년"
"67508","남","유료회원","초3학년"
"22295","여","유료회원","초3학년"
"5094","여","유료회원","초3학년"
"52864","여","유료회원","초2학년"
"4616","남","유료회원","초2학년"
"2827","남","유료회원","초2학년"
"16234","여","유료회원","초4학년"
"50039","남","유료회원","초3학년"
"23288","여","유료회원","초5학년"
"1490","남","유료회원","초1학년"
"25127","남","유료회원","초3학년"
"28522","여","유료회원","초1학년"
"63349","남","유료회원","초2학년"
"95489","남","유료회원","초4학년"
"11083","정보없음","유료회원","초3학년"
"16220","남","유료회원","초5학년"
"3206","남","유료회원","초5학년"
"71029","여","유료회원","초1학년"
"35784","정보없음","유료회원","초1학년"
"125","여","유료회원","초1학년"
"11001","여","유료회원","초4학년"
"18732","남","유료회원","초4학년"
"85572","여","유료회원","초3학년"
"13252","여","유료회원","초4학년"
"30805","남","유료회원","초5학년"
"17032","남","유료회원","초4학년"
"25595","남","유료회원","초3학년"
"25226","여","유료회원","초2학년"
"58167","여","유료회원","초2학년"
"13012","여","유료회원","초3학년"
"27346","여","유료회원","초1학년"
"47412","여","유료회원","초5학년"
"62799","여","유료회원","초5학년"
"74837","남","유료회원","초4학년"
"3401","남","유료회원","초6학년"
"32486","여","유료회원","초4학년"
"6274","여","유료회원","초5학년"
"31201","남","유료회원","초4학년"
"20366","여","유료회원","초3학년"
"80345","남","유료회원","초3학년"
"14923","여","유료회원","초4학년"
"13113","남","유료회원","초6학년"
"1624","남","유료회원","초5학년"
"64567","남","유료회원","초1학년"
"17061","남","유료회원","초3학년"
"17036","남","유료회원","초3학년"
"30436","여","유료회원","초5학년"
"17410","남","학습만료","초6학년"
"76210","남","유료회원","초2학년"
"45914","남","유료회원","초5학년"
"14775","여","유료회원","초5학년"
"13016","남","유료회원","초2학년"
"52613","남","유료회원","초4학년"
"37158","남","유료회원","초3학년"
"49309","여","유료회원","초5학년"
"73381","정보없음","유료회원","초1학년"
"42974","정보없음","유료회원","초4학년"
"19481","남","유료회원","초5학년"
"544","여","유료회원","초2학년"
"79593","남","유료회원","초1학년"
"60569","여","유료회원","초3학년"
"47098","남","유료회원","초2학년"
"12931","남","유료회원","초2학년"
"52858","여","유료회원","0학년"
